txn_id,timestamp,amount_inr,payment_method,bank,device_type,customer_segment,failure_reason,retry_count_before,past_success_rate,network_latency_ms,hour_of_day,is_weekend,fraud_score
pay_100000,2026-08-09T21:05:00,91.65,card,Yes Bank,web,new,insufficient_funds,0,0.029,107,21,True,0.156
pay_100001,2026-07-06T10:09:00,4499.98,wallet,,web,returning,insufficient_funds,0,0.755,124,10,False,0.073
pay_100002,2026-07-17T19:36:00,1182.82,card,Axis,ios,returning,daily_limit_exceeded,0,0.342,318,19,False,0.087
pay_100003,2026-08-29T08:59:00,487.89,wallet,,web,returning,risk_engine_block,0,0.496,553,8,True,0.588
pay_100004,2026-07-11T01:25:00,1307.11,upi,,android,high_value,bank_server_timeout,0,0.526,3825,1,True,0.064
pay_100005,2026-08-14T13:25:00,889.57,netbanking,Axis,web,high_value,bank_server_timeout,0,0.866,2522,13,False,0.01
pay_100006,2026-07-05T17:49:00,2461.73,wallet,,android,at_risk_churn,risk_engine_block,0,0.582,349,17,True,0.647
pay_100007,2026-07-18T04:48:00,1300.57,card,HDFC,ios,new,daily_limit_exceeded,0,0.253,411,4,True,0.149
pay_100008,2026-08-02T23:52:00,763.55,netbanking,Kotak,ios,new,bank_server_timeout,0,0.332,1165,23,True,0.153
pay_100009,2026-08-25T12:41:00,2317.38,upi,,web,high_value,risk_engine_block,0,0.941,305,12,False,0.551
pay_100010,2026-08-09T06:08:00,149.37,card,HDFC,web,at_risk_churn,insufficient_funds,1,0.904,496,6,True,0.019
pay_100011,2026-07-22T01:46:00,1507.86,wallet,,android,returning,insufficient_funds,0,0.649,335,1,False,0.087
pay_100012,2026-06-02T17:05:00,75.09,wallet,,ios,high_value,network_drop,2,0.756,1632,17,False,0.1
pay_100013,2026-08-11T23:42:00,174.92,netbanking,Axis,web,high_value,network_drop,1,0.563,314,23,False,0.01
pay_100014,2026-07-02T18:37:00,29.69,upi,,web,returning,otp_expired,0,0.708,347,18,False,0.02
pay_100015,2026-06-10T10:00:00,1056.64,netbanking,ICICI,ios,returning,bank_server_timeout,0,0.659,3688,10,False,0.01
pay_100016,2026-08-07T20:00:00,1788.47,netbanking,HDFC,web,high_value,bank_server_timeout,0,0.903,1163,20,False,0.012
pay_100017,2026-07-04T20:32:00,1113.91,upi,,ios,returning,otp_expired,0,0.952,363,20,True,0.01
pay_100018,2026-08-11T13:00:00,1836.1,upi,,web,new,network_drop,0,0.403,227,13,False,0.183
pay_100019,2026-06-14T21:22:00,286.01,upi,,android,new,network_drop,1,0.46,713,21,True,0.193
pay_100020,2026-08-25T13:55:00,1297.86,upi,,android,high_value,risk_engine_block,1,0.514,119,13,False,0.636
pay_100021,2026-06-29T07:01:00,110.35,upi,,ios,returning,bank_server_timeout,0,0.907,1518,7,False,0.064
pay_100022,2026-08-16T03:27:00,2182.64,netbanking,Kotak,android,new,network_drop,0,0.366,553,3,True,0.139
pay_100023,2026-08-25T21:12:00,807.77,netbanking,SBI,web,returning,bank_server_timeout,0,0.614,3553,21,False,0.012
pay_100024,2026-07-24T06:42:00,1533.31,netbanking,ICICI,ios,returning,otp_expired,2,0.709,80,6,False,0.13
pay_100025,2026-06-22T23:42:00,238.52,netbanking,ICICI,android,returning,otp_expired,0,0.791,320,23,False,0.067
pay_100026,2026-07-29T02:26:00,486.75,upi,,web,new,otp_expired,2,0.158,489,2,False,0.224
pay_100027,2026-08-06T22:29:00,44.32,card,Axis,web,high_value,daily_limit_exceeded,0,0.657,404,22,False,0.095
pay_100028,2026-08-21T07:17:00,623.59,wallet,,ios,returning,network_drop,1,0.818,1250,7,False,0.023
pay_100029,2026-06-28T04:04:00,228.61,netbanking,IDFC,web,new,network_drop,0,0.125,3491,4,True,0.142
pay_100030,2026-08-08T13:47:00,213.85,card,SBI,web,high_value,daily_limit_exceeded,1,0.803,577,13,True,0.01
pay_100031,2026-08-12T18:42:00,1328.6,wallet,,ios,high_value,network_drop,0,0.769,1632,18,False,0.033
pay_100032,2026-06-03T15:47:00,271.36,netbanking,IDFC,android,high_value,bank_server_timeout,0,0.682,3969,15,False,0.025
pay_100033,2026-06-22T11:38:00,608.67,upi,,ios,returning,otp_expired,0,0.6,190,11,False,0.058
pay_100034,2026-08-27T09:38:00,869.02,wallet,,web,high_value,insufficient_funds,1,0.96,459,9,False,0.01
pay_100035,2026-08-21T11:57:00,643.78,netbanking,Kotak,ios,returning,bank_server_timeout,1,0.651,1186,11,False,0.062
pay_100036,2026-07-06T02:56:00,34.9,wallet,,android,high_value,risk_engine_block,0,0.707,586,2,False,0.635
pay_100037,2026-07-06T22:35:00,53.65,wallet,,android,high_value,insufficient_funds,0,0.639,582,22,False,0.045
pay_100038,2026-07-31T11:35:00,157.35,card,ICICI,android,returning,insufficient_funds,0,0.773,357,11,False,0.031
pay_100039,2026-08-15T08:48:00,71.75,upi,,web,high_value,otp_expired,0,0.807,263,8,True,0.03
pay_100040,2026-08-21T04:55:00,927.76,upi,,ios,at_risk_churn,otp_expired,1,0.729,338,4,False,0.094
